System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,34167,8.5489,12.6253,22.3297,58.2345,-973.27,-386.29,-165.27,-309.88
Theta 2021,Wait_Time_hours,WFP,Random,Random,lower_is_better,24267,0.3975,1.7589,6.4426,23.6642,50.10,32.25,23.46,-66.56
Theta 2021,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,27894,0.7965,2.5962,8.4176,14.2078,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,23051,0.1890,0.9361,4.8956,55.0464,76.27,63.94,41.84,-287.44
Theta 2021,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,26647,0.6114,2.6669,9.5753,18.3110,23.24,-2.72,-13.75,-28.88
Theta 2021,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,28441,1.3514,4.9936,18.2089,22.0764,-69.66,-92.34,-116.32,-55.38
Theta 2021,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,22474,0.3338,1.1974,4.2974,18.8724,58.09,53.88,48.95,-32.83
Theta 2021,Wait_Time_hours,WFP,F1,F1,lower_is_better,21613,0.3106,1.1581,4.4225,30.2272,61.01,55.40,47.46,-112.75
Polaris 2024,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,41932,1.5605,4.0247,9.0442,10.9667,-94.45,-51.18,-17.59,-23.39
Polaris 2024,Wait_Time_hours,WFP,Random,Random,lower_is_better,33596,0.5627,2.0508,6.2173,10.1752,29.88,22.97,19.17,-14.49
Polaris 2024,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,34789,0.8025,2.6622,7.6914,8.8876,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,32869,0.3367,1.4950,6.0211,14.0635,58.05,43.84,21.72,-58.24
Polaris 2024,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,35684,0.6297,2.5679,7.5467,10.2643,21.53,3.54,1.88,-15.49
Polaris 2024,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,36220,1.2097,4.4819,13.9197,13.9747,-50.74,-68.35,-80.98,-57.24
Polaris 2024,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,32090,0.4808,1.8546,5.6572,8.0810,40.08,30.34,26.45,9.08
Polaris 2024,Wait_Time_hours,WFP,F1,F1,lower_is_better,31813,0.4828,1.7053,4.7969,8.8454,39.84,35.95,37.63,0.47
Theta 2021,Bounded_Slowdown,WFP,Random,Random,lower_is_better,24267,1.4791,3.0753,11.9306,200.4336,27.48,28.92,27.39,-59.74
Theta 2021,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,27894,2.0397,4.3268,16.4317,125.4725,0.00,0.00,0.00,0.00
Theta 2021,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,23051,1.2422,2.3338,8.3715,349.6278,39.10,46.06,49.05,-178.65
