cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,F3,"|0|"
2,1,F3,"|1|"
3,1,NONE,""
4,1,NONE,""
5,1,F3,"|2|"
6,1,F3,"|3|"
7,1,NONE,""
8,1,NONE,""
9,1,F3,"|4|"
10,1,F3,"|5|"
11,1,F3,"|6|"
12,1,F3,"|7|"
13,1,F3,"|8|"
14,1,F3,"|9|"
15,1,NONE,""
16,1,F3,"|10|"
17,1,F3,"|11|"
18,1,NONE,""
19,1,NONE,""
20,1,NONE,""
21,1,F3,"|12|"
22,1,NONE,""
23,1,F3,"|13|"
24,1,NONE,""
25,1,F3,"|14|"
26,1,F3,"|15|"
27,1,NONE,""
28,1,NONE,""
29,1,NONE,""
30,1,F3,"|16|"
31,1,NONE,""
32,1,F3,"|17|"
33,1,NONE,""
34,1,F3,"|18|"
35,1,NONE,""
36,1,F3,"|19|"
37,1,F3,"|20|"
38,1,F3,"|21|"
39,1,F3,"|22|"
40,1,DRAIN,"|23|"
41,1,DRAIN,"|23|"
42,1,DRAIN,"|23|"
43,1,DRAIN,"|23|"
44,1,DRAIN,"|23|"
45,1,BACKFILL,"|23|"
46,1,BACKFILL,"|23|"
47,1,DRAIN,"|23|"
48,1,F3,"|23|"
49,1,DRAIN,"|24|"
50,1,BACKFILL,"|24|"
51,1,DRAIN,"|24|"
52,1,DRAIN,"|24|"
53,1,DRAIN,"|24|"
54,1,DRAIN,"|24|"
55,1,DRAIN,"|24|"
56,1,DRAIN,"|24|"
57,1,DRAIN,"|24|"
58,1,BACKFILL,"|24|"
59,1,DRAIN,"|24|"
60,1,DRAIN,"|24|"
61,1,DRAIN,"|24|"
62,1,BACKFILL,"|24|"
63,1,DRAIN,"|24|"
64,1,DRAIN,"|24|"
65,1,BACKFILL,"|24|"
66,1,DRAIN,"|24|"
67,1,BACKFILL,"|24|"
68,1,DRAIN,"|24|"
69,1,DRAIN,"|24|"
70,1,BACKFILL,"|24|"
71,1,DRAIN,"|24|"
72,1,DRAIN,"|24|"
73,1,BACKFILL,"|24|"
74,1,BACKFILL,"|24|"
75,1,DRAIN,"|24|"
76,1,DRAIN,"|24|"
77,1,BACKFILL,"|24|"
78,1,DRAIN,"|24|"
79,1,DRAIN,"|24|"
80,1,BACKFILL,"|24|"
81,1,DRAIN,"|24|"
82,1,DRAIN,"|24|"
83,1,BACKFILL,"|24|"
84,1,BACKFILL,"|24|"
85,1,DRAIN,"|24|"
86,1,DRAIN,"|24|"
87,1,BACKFILL,"|24|"
88,1,DRAIN,"|24|"
89,1,DRAIN,"|24|"
90,1,F3,"|24|"
91,1,F3,"|25|"
92,1,DRAIN,"|26|"
93,1,DRAIN,"|26|"
94,1,DRAIN,"|26|"
95,1,DRAIN,"|26|"
96,1,DRAIN,"|26|"
97,1,DRAIN,"|26|"
98,1,DRAIN,"|26|"
99,1,DRAIN,"|26|"
100,1,DRAIN,"|26|"
101,1,DRAIN,"|26|"
102,1,DRAIN,"|26|"
103,1,DRAIN,"|26|"
104,1,DRAIN,"|26|"
105,1,DRAIN,"|26|"
106,1,DRAIN,"|26|"
107,1,DRAIN,"|26|"
108,1,DRAIN,"|26|"
109,1,DRAIN,"|26|"
110,1,DRAIN,"|26|"
111,1,DRAIN,"|26|"
112,1,DRAIN,"|26|"
113,1,DRAIN,"|26|"
114,1,DRAIN,"|26|"
115,1,DRAIN,"|26|"
116,1,DRAIN,"|26|"
117,1,DRAIN,"|26|"
118,1,DRAIN,"|26|"
119,1,DRAIN,"|26|"
120,1,DRAIN,"|26|"
121,1,DRAIN,"|26|"
122,1,DRAIN,"|26|"
123,1,DRAIN,"|26|"
124,1,DRAIN,"|26|"
125,1,DRAIN,"|26|"
126,1,DRAIN,"|26|"
127,1,DRAIN,"|26|"
128,1,DRAIN,"|26|"
129,1,DRAIN,"|26|"
130,1,DRAIN,"|26|"
131,1,DRAIN,"|26|"
132,1,DRAIN,"|26|"
133,1,DRAIN,"|26|"
134,1,DRAIN,"|26|"
135,1,DRAIN,"|26|"
136,1,F3,"|26|"
137,1,DRAIN,"|27|"
138,1,DRAIN,"|27|"
139,1,DRAIN,"|27|"
140,1,DRAIN,"|27|"
141,1,DRAIN,"|27|"
142,1,DRAIN,"|27|"
143,1,DRAIN,"|27|"
144,1,DRAIN,"|27|"
145,1,DRAIN,"|27|"
146,1,DRAIN,"|27|"
147,1,DRAIN,"|27|"
148,1,DRAIN,"|27|"
149,1,DRAIN,"|27|"
150,1,DRAIN,"|27|"
151,1,DRAIN,"|27|"
152,1,DRAIN,"|27|"
153,1,DRAIN,"|27|"
154,1,DRAIN,"|27|"
155,1,DRAIN,"|27|"
156,1,DRAIN,"|27|"
157,1,DRAIN,"|27|"
158,1,DRAIN,"|27|"
159,1,DRAIN,"|27|"
160,1,DRAIN,"|27|"
161,1,DRAIN,"|27|"
162,1,F3,"|27|"
163,1,F3,"|37|"
164,1,DRAIN,"|48|"
165,1,DRAIN,"|48|"
166,1,DRAIN,"|48|"
167,1,DRAIN,"|48|"
168,1,DRAIN,"|48|"
169,1,DRAIN,"|48|"
170,1,DRAIN,"|48|"
171,1,DRAIN,"|48|"
172,1,DRAIN,"|48|"
173,1,DRAIN,"|48|"
174,1,DRAIN,"|48|"
175,1,DRAIN,"|48|"
176,1,DRAIN,"|48|"
177,1,DRAIN,"|48|"
178,1,DRAIN,"|48|"
179,1,DRAIN,"|48|"
180,1,DRAIN,"|48|"
181,1,DRAIN,"|48|"
182,1,DRAIN,"|48|"
183,1,DRAIN,"|48|"
184,1,DRAIN,"|48|"
185,1,DRAIN,"|48|"
186,1,DRAIN,"|48|"
187,1,DRAIN,"|48|"
188,1,DRAIN,"|48|"
189,1,DRAIN,"|48|"
190,1,DRAIN,"|48|"
191,1,DRAIN,"|48|"
192,1,DRAIN,"|48|"
193,1,DRAIN,"|48|"
194,1,DRAIN,"|48|"
195,1,DRAIN,"|48|"
196,1,DRAIN,"|48|"
197,1,DRAIN,"|48|"
198,1,DRAIN,"|48|"
199,1,DRAIN,"|48|"
200,1,DRAIN,"|48|"
201,1,DRAIN,"|48|"
202,1,DRAIN,"|48|"
203,1,DRAIN,"|48|"
204,1,DRAIN,"|48|"
205,1,DRAIN,"|48|"
206,1,DRAIN,"|48|"
207,1,DRAIN,"|48|"
208,1,DRAIN,"|48|"
209,1,DRAIN,"|48|"
210,1,DRAIN,"|48|"
211,1,DRAIN,"|48|"
212,1,DRAIN,"|48|"
213,1,DRAIN,"|48|"
214,1,DRAIN,"|48|"
215,1,DRAIN,"|48|"
216,1,DRAIN,"|48|"
217,1,DRAIN,"|48|"
218,1,DRAIN,"|48|"
219,1,DRAIN,"|48|"
220,1,DRAIN,"|48|"
221,1,DRAIN,"|48|"
222,1,DRAIN,"|48|"
223,1,DRAIN,"|48|"
224,1,DRAIN,"|48|"
225,1,DRAIN,"|48|"
226,1,DRAIN,"|48|"
227,1,DRAIN,"|48|"
228,1,DRAIN,"|48|"
229,1,DRAIN,"|48|"
230,1,DRAIN,"|48|"
231,1,DRAIN,"|48|"
232,1,DRAIN,"|48|"
233,1,F3+BACKFILL,"|48|"
234,1,DRAIN,"|66|"
235,1,BACKFILL,"|66|"
236,1,BACKFILL,"|66|"
237,1,BACKFILL,"|66|"
238,1,BACKFILL,"|66|"
239,1,BACKFILL,"|66|"
240,1,BACKFILL,"|66|"
241,1,BACKFILL,"|66|"
242,1,BACKFILL,"|66|"
243,1,DRAIN,"|66|"
244,1,DRAIN,"|66|"
245,1,BACKFILL,"|66|"
246,1,BACKFILL,"|66|"
247,1,BACKFILL,"|66|"
248,1,BACKFILL,"|66|"
249,1,BACKFILL,"|66|"
250,1,BACKFILL,"|66|"
251,1,BACKFILL,"|66|"
252,1,BACKFILL,"|66|"
253,1,BACKFILL,"|66|"
254,1,BACKFILL,"|66|"
255,1,BACKFILL,"|66|"
256,1,BACKFILL,"|66|"
257,1,BACKFILL,"|66|"
258,1,BACKFILL,"|66|"
259,1,BACKFILL,"|66|"
260,1,BACKFILL,"|66|"
261,1,BACKFILL,"|66|"
262,1,BACKFILL,"|66|"
263,1,BACKFILL,"|66|"
264,1,BACKFILL,"|66|"
265,1,BACKFILL,"|66|"
266,1,DRAIN,"|66|"
267,1,DRAIN,"|66|"
268,1,DRAIN,"|66|"
269,1,DRAIN,"|66|"
270,1,DRAIN,"|66|"
271,1,DRAIN,"|66|"
272,1,DRAIN,"|66|"
273,1,DRAIN,"|66|"
274,1,DRAIN,"|66|"
275,1,DRAIN,"|66|"
276,1,F3,"|66|"
277,1,DRAIN,"|69|"
278,1,DRAIN,"|69|"
279,1,F3+BACKFILL,"|69|"
280,1,F3+BACKFILL,"|78|"
281,1,F3,"|80|"
282,1,DRAIN,"|81|"
283,1,DRAIN,"|81|"
284,1,BACKFILL,"|81|"
285,1,F3+BACKFILL,"|81|"
286,1,DRAIN,"|84|"
287,1,BACKFILL,"|84|"
288,1,BACKFILL,"|84|"
289,1,DRAIN,"|84|"
290,1,F3,"|84|"
291,1,DRAIN,"|85|"
292,1,BACKFILL,"|85|"
293,1,DRAIN,"|85|"
294,1,BACKFILL,"|85|"
295,1,DRAIN,"|85|"
296,1,F3+BACKFILL,"|85|"
297,1,F3+BACKFILL,"|95|"
298,1,DRAIN,"|132|"
299,1,DRAIN,"|132|"
300,1,DRAIN,"|132|"
301,1,DRAIN,"|132|"
302,1,F3,"|132|"
303,1,F3,"|133|"
304,1,F3,"|134|"
305,1,F3,"|135|"
306,1,F3,"|136|"
307,1,BACKFILL,"|137|"
308,1,DRAIN,"|137|"
309,1,DRAIN,"|137|"
310,1,BACKFILL,"|137|"
311,1,BACKFILL,"|137|"
312,1,BACKFILL,"|137|"
313,1,F3,"|137|"
314,1,DRAIN,"|138|"
315,1,DRAIN,"|138|"
316,1,BACKFILL,"|138|"
317,1,BACKFILL,"|138|"
318,1,BACKFILL,"|138|"
319,1,BACKFILL,"|138|"
320,1,BACKFILL,"|138|"
321,1,BACKFILL,"|138|"
322,1,DRAIN,"|138|"
323,1,BACKFILL,"|138|"
324,1,DRAIN,"|138|"
325,1,DRAIN,"|138|"
326,1,DRAIN,"|138|"
327,1,DRAIN,"|138|"
328,1,DRAIN,"|138|"
329,1,DRAIN,"|138|"
330,1,DRAIN,"|138|"
331,1,DRAIN,"|138|"
332,1,F3,"|138|"
333,1,BACKFILL,"|139|"
334,1,DRAIN,"|139|"
335,1,DRAIN,"|139|"
336,1,BACKFILL,"|139|"
337,1,BACKFILL,"|139|"
338,1,BACKFILL,"|139|"
339,1,DRAIN,"|139|"
340,1,DRAIN,"|139|"
341,1,F3+BACKFILL,"|139|"
342,1,DRAIN,"|140|"
343,1,DRAIN,"|140|"
344,1,DRAIN,"|140|"
345,1,DRAIN,"|140|"
346,1,DRAIN,"|140|"
347,1,F3,"|140|"
348,1,BACKFILL,"|143|"
349,1,BACKFILL,"|143|"
350,1,BACKFILL,"|143|"
351,1,DRAIN,"|143|"
352,1,BACKFILL,"|143|"
353,1,BACKFILL,"|143|"
354,1,BACKFILL,"|143|"
355,1,BACKFILL,"|143|"
356,1,BACKFILL,"|143|"
357,1,BACKFILL,"|143|"
358,1,BACKFILL,"|143|"
359,1,BACKFILL,"|143|"
360,1,BACKFILL,"|143|"
361,1,BACKFILL,"|143|"
362,1,BACKFILL,"|143|"
363,1,BACKFILL,"|143|"
364,1,BACKFILL,"|143|"
365,1,BACKFILL,"|143|"
366,1,BACKFILL,"|143|"
367,1,BACKFILL,"|143|"
368,1,BACKFILL,"|143|"
369,1,BACKFILL,"|143|"
370,1,DRAIN,"|143|"
371,1,BACKFILL,"|143|"
372,1,DRAIN,"|143|"
373,1,BACKFILL,"|143|"
374,1,BACKFILL,"|143|"
375,1,DRAIN,"|143|"
376,1,BACKFILL,"|143|"
377,1,DRAIN,"|143|"
378,1,DRAIN,"|143|"
379,1,DRAIN,"|143|"
380,1,BACKFILL,"|143|"
381,1,BACKFILL,"|143|"
382,1,BACKFILL,"|143|"
383,1,DRAIN,"|143|"
384,1,BACKFILL,"|143|"
385,1,BACKFILL,"|143|"
386,1,BACKFILL,"|143|"
387,1,DRAIN,"|143|"
388,1,DRAIN,"|143|"
389,1,DRAIN,"|143|"
390,1,BACKFILL,"|143|"
391,1,DRAIN,"|143|"
392,1,DRAIN,"|143|"
393,1,BACKFILL,"|143|"
394,1,DRAIN,"|143|"
395,1,DRAIN,"|143|"
396,1,DRAIN,"|143|"
397,1,DRAIN,"|143|"
398,1,DRAIN,"|143|"
399,1,DRAIN,"|143|"
400,1,DRAIN,"|143|"
401,1,DRAIN,"|143|"
402,1,F3,"|143|"
403,1,BACKFILL,"|147|"
404,1,BACKFILL,"|147|"
405,1,DRAIN,"|147|"
406,1,BACKFILL,"|147|"
407,1,DRAIN,"|147|"
408,1,DRAIN,"|147|"
409,1,BACKFILL,"|147|"
410,1,BACKFILL,"|147|"
411,1,DRAIN,"|147|"
412,1,DRAIN,"|147|"
413,1,BACKFILL,"|147|"
414,1,BACKFILL,"|147|"
415,1,DRAIN,"|147|"
416,1,DRAIN,"|147|"
417,1,F3+BACKFILL,"|147|"
418,1,F3,"|148|"
419,1,F3+BACKFILL,"|149|"
420,1,BACKFILL,"|168|"
421,1,BACKFILL,"|168|"
422,1,BACKFILL,"|168|"
423,1,BACKFILL,"|168|"
424,1,DRAIN,"|168|"
425,1,F3,"|168|"
426,1,DRAIN,"|169|"
427,1,BACKFILL,"|169|"
428,1,DRAIN,"|169|"
429,1,DRAIN,"|169|"
430,1,F3,"|169|"
431,1,F3,"|170|"
432,1,DRAIN,"|171|"
433,1,F3,"|171|"
434,1,F3,"|172|"
435,1,DRAIN,"|206|"
436,1,F3+BACKFILL,"|206|"
437,1,DRAIN,"|38|"
438,1,DRAIN,"|38|"
439,1,DRAIN,"|38|"
440,1,DRAIN,"|38|"
441,1,F3,"|38|"
442,1,DRAIN,"|210|"
443,1,DRAIN,"|210|"
444,1,DRAIN,"|210|"
445,1,DRAIN,"|210|"
446,1,DRAIN,"|210|"
447,1,DRAIN,"|210|"
