tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
WFP1-w32,52616,37596531,55031.05,0.00,0.00,12515.00,70480.75,94778.00,174893.00,240599.00,381666.55,1688522.00,7.42,1.00,1.00,2.72,8.17,9.96,16.36,28.58,65.42,1267.29,0.7655
WFP1-w64,52616,37599027,52059.50,0.00,0.00,10302.00,58513.75,80447.00,175633.00,242601.25,366770.85,1670070.00,5.85,1.00,1.00,2.55,7.31,8.99,13.26,18.10,43.09,546.30,0.7655
WFP1-w128,52616,37599027,54168.44,0.00,0.00,9702.50,59305.75,83381.00,176685.00,267936.50,399734.90,1669493.00,5.73,1.00,1.00,2.56,7.13,8.66,13.75,18.61,37.10,594.41,0.7655
WFP1-w256,52616,37599027,57403.18,0.00,0.00,9852.00,52747.75,77786.00,197143.00,306243.50,442137.20,1659324.00,5.47,1.00,1.00,2.66,6.99,8.76,13.78,18.52,31.98,269.84,0.7655
WFP1-w512,52616,37599027,54991.73,0.00,0.00,9454.00,51461.00,75671.00,187883.00,285594.75,415849.15,1655923.00,5.22,1.00,1.00,2.60,6.84,8.50,13.32,17.25,30.63,269.84,0.7655
WFP1-w1024,52616,37599027,55142.33,0.00,0.00,9327.00,51590.25,75942.00,186004.00,282022.50,425036.65,1655923.00,5.25,1.00,1.00,2.60,6.85,8.52,13.36,17.58,30.63,269.84,0.7655
FCSJ-w2,52616,37590097,48831.45,0.00,0.00,12018.50,58343.25,73963.00,154508.00,214705.00,375920.30,1609760.00,7.63,1.00,1.00,2.57,7.23,9.03,16.59,26.05,79.98,1807.02,0.7657
FCSJ-w4,52616,37622692,43922.46,0.00,0.00,9950.00,47126.00,63725.00,129545.50,210182.25,376583.40,1694114.00,6.98,1.00,1.00,2.17,6.22,8.07,15.40,24.51,76.19,1315.67,0.7650
FCSJ-w8,52616,37693299,42988.13,0.00,0.00,8835.50,44045.25,62355.00,129718.00,205480.50,417328.00,1634830.00,6.77,1.00,1.00,2.04,6.00,7.65,14.02,26.50,66.59,1133.73,0.7636
FCSJ-w16,52616,37658197,38240.36,0.00,0.00,8154.00,38752.50,53322.00,113399.50,171385.00,348179.00,1723538.00,5.40,1.00,1.00,2.03,5.44,6.75,10.26,17.11,54.98,551.93,0.7643
FCSJ-w32,52616,37703124,34453.99,0.00,0.00,6632.00,34377.75,47883.00,96243.50,152611.25,326863.10,1799673.00,4.49,1.00,1.00,1.93,4.58,5.64,8.86,14.20,39.98,356.50,0.7634
FCSJ-w64,52616,37703124,33715.46,0.00,0.00,6121.50,30495.00,42446.00,91402.00,160382.00,327287.25,1799902.00,3.85,1.00,1.00,1.88,4.24,5.39,8.52,11.99,26.69,269.24,0.7634
FCSJ-w128,52616,37703124,32087.58,0.00,0.00,5539.00,28661.00,39510.00,83552.00,152458.75,346632.10,1834140.00,3.55,1.00,1.00,1.83,4.09,4.92,7.82,10.61,23.08,191.31,0.7634
FCSJ-w256,52616,37703124,33008.49,0.00,0.00,5895.00,26814.25,38451.00,90141.50,163280.00,334696.15,1851652.00,3.49,1.00,1.00,1.87,4.24,5.04,7.93,10.22,19.48,191.31,0.7634
FCSJ-w512,52616,37703124,33287.24,0.00,0.00,5398.50,27887.50,39512.00,87544.50,166822.00,351905.80,1845234.00,3.44,1.00,1.00,1.82,4.11,4.95,8.04,10.60,18.61,191.31,0.7634
FCSJ-w1024,52616,37703124,33287.24,0.00,0.00,5398.50,27887.50,39512.00,87544.50,166822.00,351905.80,1845234.00,3.44,1.00,1.00,1.82,4.11,4.95,8.04,10.60,18.61,191.31,0.7634
FAT-w2,52616,37600592,50125.22,0.00,0.00,10718.00,57362.25,77986.00,154451.00,235695.75,415462.25,1611751.00,7.66,1.00,1.00,2.38,6.80,8.65,15.18,25.94,84.33,1842.01,0.7655
FAT-w4,52616,37550683,50764.39,0.00,0.00,10546.00,54632.00,76426.00,167101.00,252566.25,387535.60,1599161.00,7.51,1.00,1.00,2.38,7.11,9.27,15.10,24.85,81.64,1670.69,0.7665
FAT-w8,52616,37536287,57277.16,0.00,0.00,13265.00,66340.50,90315.00,185979.50,270346.25,425525.55,1495267.00,8.31,1.00,1.00,2.81,8.21,10.41,18.33,28.79,78.81,1324.04,0.7668
FAT-w16,52616,37569216,54605.59,0.00,0.00,12387.50,67603.25,90047.00,169096.50,258574.00,403571.70,1599004.00,8.20,1.00,1.00,2.55,7.81,9.77,17.47,35.59,77.68,1272.00,0.7661
FAT-w32,52616,37548866,57223.77,0.00,0.00,12954.00,71071.25,96082.00,181839.50,256039.00,415726.85,1640781.00,7.76,1.00,1.00,2.96,7.81,9.66,16.64,26.70,72.67,1168.96,0.7665
FAT-w64,52616,37573834,63767.88,0.00,11.00,14924.50,79419.00,103846.00,202271.50,305211.25,440601.90,1524429.00,8.31,1.00,1.00,3.02,9.34,11.69,18.63,31.31,67.45,585.37,0.7660
FAT-w128,52616,37547835,68025.87,0.00,5.00,13124.50,82240.00,118822.00,220706.00,323923.25,480614.85,1596178.00,7.89,1.00,1.00,3.26,9.12,11.27,18.79,27.59,67.36,387.57,0.7665
FAT-w256,52616,37547835,77585.73,0.00,7.00,13149.00,84586.25,128568.00,269965.50,385350.25,575571.80,1728660.00,8.21,1.00,1.00,3.12,10.44,12.86,20.09,27.91,68.64,358.60,0.7665
FAT-w512,52616,37547835,82278.16,0.00,25.00,13117.50,84973.75,123843.00,279256.00,417176.00,760054.90,1623983.00,8.38,1.00,1.00,3.23,9.90,12.56,20.67,31.00,72.98,283.58,0.7665
FAT-w1024,52616,37547835,80664.04,0.00,35.00,13872.00,85390.50,127706.00,279833.00,393354.00,663632.00,1619616.00,8.19,1.00,1.00,3.40,9.87,12.70,19.99,30.19,67.74,283.58,0.7665
UNICEP-w2,52616,37606748,50521.75,0.00,0.00,11949.00,56268.25,77370.00,165269.50,243675.00,364088.75,3766988.00,7.97,1.00,1.00,2.45,7.67,9.59,15.62,26.28,87.76,1751.37,0.7653
UNICEP-w4,52616,37598699,49251.72,0.00,0.00,11122.50,52310.75,70782.00,154321.50,249412.75,373697.80,4126742.00,8.18,1.00,1.00,2.36,7.44,9.28,15.35,25.16,92.51,2125.06,0.7655
UNICEP-w8,52616,37584898,44661.99,0.00,0.00,8563.50,46396.50,63759.00,139759.00,212996.25,362728.85,4658575.00,8.01,1.00,1.00,2.09,6.31,8.11,14.15,24.54,89.82,2079.06,0.7658
