tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
LJF-w16,52616,37560167,51599.30,0.00,0.00,10439.00,54797.25,73631.00,159774.00,241425.00,415744.65,3776477.00,9.56,1.00,1.00,2.37,7.07,9.22,17.16,33.08,108.38,1996.56,0.7663
LJF-w32,52616,37546356,53496.24,0.00,0.00,9357.50,55615.25,77064.00,157701.50,240686.50,483828.10,4264687.00,10.12,1.00,1.00,2.17,6.89,9.02,17.60,33.59,128.02,1950.52,0.7666
LJF-w64,52616,37554136,56036.39,0.00,0.00,8829.50,52597.50,74900.00,153837.50,248194.00,574079.80,3776328.00,11.51,1.00,1.00,2.09,6.73,8.72,18.41,35.00,145.87,1995.96,0.7664
LJF-w128,52616,37553644,63423.73,0.00,0.00,9563.00,54319.25,75720.00,177794.50,279310.75,686626.50,3763584.00,13.98,1.00,1.00,2.11,7.50,9.76,19.49,41.89,177.41,2198.99,0.7664
LJF-w256,52616,37555473,73188.49,0.00,0.00,9280.00,57116.00,77104.00,172807.00,304125.25,848253.05,3740995.00,17.81,1.00,1.00,2.06,7.57,10.37,24.41,56.59,240.62,2079.33,0.7664
LJF-w512,52616,37555473,80176.93,0.00,0.00,9537.50,61830.25,90037.00,185419.00,316123.25,906913.50,3938725.00,21.04,1.00,1.00,2.00,8.24,10.94,29.18,86.28,265.48,2713.80,0.7664
LJF-w1024,52616,37555473,76575.05,0.00,0.00,9269.50,53812.75,74091.00,174967.50,305410.00,958581.00,3918665.00,19.49,1.00,1.00,1.96,7.76,10.52,26.28,60.05,269.70,2224.72,0.7664
SRF-w2,52616,37611467,48436.68,0.00,0.00,12226.00,50858.00,68282.00,153187.00,244781.75,363195.15,2545467.00,7.82,1.00,1.00,2.50,6.92,9.49,16.00,25.69,87.10,1370.00,0.7652
SRF-w4,52616,37610778,42368.63,0.00,0.00,9651.50,46410.50,62485.00,123062.00,213652.00,335512.10,3116833.00,7.16,1.00,1.00,2.10,6.18,7.95,13.86,22.55,79.20,1732.57,0.7652
SRF-w8,52616,37647266,36570.50,0.00,0.00,6714.50,35972.25,48167.00,100127.00,183525.00,322243.35,3436048.00,6.51,1.00,1.00,1.77,4.86,6.26,12.39,21.36,74.12,1749.61,0.7645
SRF-w16,52616,37671267,31493.05,0.00,0.00,4031.00,27372.25,38264.00,82185.50,139074.25,309289.55,3509421.00,6.26,1.00,1.00,1.44,4.18,5.54,10.80,19.25,73.97,1773.61,0.7640
SRF-w32,52616,37644016,27975.83,0.00,0.00,2716.00,17510.00,24772.00,62039.00,120849.25,363108.75,3616225.00,5.94,1.00,1.00,1.27,3.22,4.33,8.42,15.38,82.62,1836.00,0.7646
SRF-w64,52616,37644281,25257.89,0.00,0.00,1749.50,12231.00,17166.00,45212.50,91635.50,444040.90,3969987.00,5.62,1.00,1.00,1.17,2.36,3.05,6.28,11.93,72.20,2049.50,0.7646
SRF-w128,52616,37644281,24019.38,0.00,0.00,1169.50,10646.00,14471.00,37088.50,72053.00,488839.60,3970909.00,5.47,1.00,1.00,1.12,2.12,2.76,5.46,9.99,72.04,2049.50,0.7646
SRF-w256,52616,37644281,23898.11,0.00,0.00,797.00,9604.50,13022.00,31943.50,63249.00,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.31,4.43,8.43,72.46,2198.52,0.7646
SRF-w512,52616,37644281,23903.80,0.00,0.00,794.00,9604.00,13069.00,32304.00,63224.50,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.32,4.42,8.45,72.46,2198.52,0.7646
SRF-w1024,52616,37644281,23903.80,0.00,0.00,794.00,9604.00,13069.00,32304.00,63224.50,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.32,4.42,8.45,72.46,2198.52,0.7646
LRF-w2,52616,37609761,50712.45,0.00,0.00,10209.00,57574.25,80339.00,162564.00,238994.00,404234.20,1526639.00,7.71,1.00,1.00,2.36,6.92,8.86,14.96,25.22,87.40,2160.57,0.7653
LRF-w4,52616,37594857,50836.78,0.00,0.00,11157.00,57118.25,81737.00,162949.00,238711.75,383324.60,1585497.00,7.68,1.00,1.00,2.52,7.27,9.13,14.34,25.48,84.60,2110.89,0.7656
LRF-w8,52616,37547516,58014.11,0.00,0.00,13561.50,66520.50,91551.00,189736.00,285850.75,432115.05,1534818.00,8.47,1.00,1.00,2.67,8.04,10.23,18.02,28.90,90.98,1953.09,0.7665
LRF-w16,52616,37530463,61214.21,0.00,0.00,14783.00,76588.50,104380.00,201885.00,271107.25,420228.35,1771735.00,9.00,1.00,1.00,2.94,9.05,11.13,18.92,33.73,92.03,1815.07,0.7669
LRF-w32,52616,37530880,65698.77,0.00,3.00,17585.50,86489.75,121939.00,205541.50,282217.75,438885.05,1459778.00,10.06,1.00,1.00,3.19,10.23,12.59,21.58,39.41,90.25,1662.53,0.7669
LRF-w64,52616,37534970,68613.44,0.00,5.00,17034.00,97230.50,128116.00,208658.50,294175.00,465102.70,1897328.00,10.87,1.00,1.00,3.23,10.25,13.18,23.18,43.20,104.41,1499.23,0.7668
LRF-w128,52616,37537987,77105.24,0.00,7.00,19305.50,111060.75,147058.00,230136.50,311550.25,529990.50,1947114.00,12.37,1.00,1.00,3.50,11.85,14.96,27.79,57.95,128.52,1005.35,0.7667
LRF-w256,52616,37548635,90834.62,0.00,259.00,20666.50,132841.75,176646.00,285392.00,385793.00,599393.55,1899846.00,14.39,1.00,1.03,3.68,13.64,16.85,31.80,74.65,153.80,999.12,0.7665
LRF-w512,52616,37548635,106604.56,0.00,19.00,20544.50,139193.25,196630.00,335004.00,486836.50,814985.65,1896576.00,15.92,1.00,1.00,3.73,15.47,20.18,34.57,78.60,154.69,1037.87,0.7665
LRF-w1024,52616,37548635,114972.19,0.00,24.00,19523.50,141463.50,206565.00,342585.50,571866.50,916979.05,1896400.00,18.08,1.00,1.00,3.70,15.27,20.93,37.95,89.60,217.27,1015.74,0.7665
SCF-w2,52616,37611467,46749.40,0.00,0.00,9806.00,51121.50,69918.00,156464.50,220042.00,355230.00,2003907.00,7.20,1.00,1.00,2.21,6.73,8.84,14.55,24.76,82.61,1061.61,0.7652
SCF-w4,52616,37613040,40901.94,0.00,0.00,9081.00,42130.25,56295.00,122392.50,210894.25,332536.20,2328245.00,6.39,1.00,1.00,2.01,5.75,7.42,13.20,21.58,70.20,1732.15,0.7652
SCF-w8,52616,37640047,31669.56,0.00,0.00,5333.00,30551.00,42154.00,85703.50,149666.50,303032.75,3332426.00,5.28,1.00,1.00,1.63,4.46,5.64,10.49,17.93,59.00,1246.10,0.7646
SCF-w16,52616,37658661,27135.34,0.00,0.00,3595.00,21962.50,30707.00,67588.00,120960.50,282275.30,4422151.00,4.56,1.00,1.00,1.42,3.56,4.46,8.50,14.63,50.31,1004.11,0.7643
SCF-w32,52616,37650529,22568.81,0.00,0.00,1991.00,13176.00,19071.00,46934.50,94454.00,238578.65,7062825.00,3.44,1.00,1.00,1.21,2.59,3.27,5.99,10.51,36.75,1003.85,0.7644
SCF-w64,52616,37650529,21006.52,0.00,0.00,1109.00,10177.00,14447.00,35992.00,71914.00,256870.30,7602595.00,2.64,1.00,1.00,1.12,2.05,2.50,4.69,7.77,26.40,224.87,0.7644
SCF-w128,52616,37650529,19575.27,0.00,0.00,672.50,8487.25,11485.00,24850.00,54506.50,281560.65,7740521.00,2.25,1.00,1.00,1.08,1.87,2.15,3.85,6.22,19.48,231.77,0.7644
SCF-w256,52616,37650529,19930.64,0.00,0.00,734.50,8986.00,12009.00,24829.50,52972.50,284786.15,8242201.00,2.24,1.00,1.00,1.09,1.91,2.19,3.93,6.14,18.31,224.87,0.7644
SCF-w512,52616,37650529,19944.07,0.00,0.00,728.00,8917.00,11938.00,25005.00,52972.50,296022.70,8242201.00,2.24,1.00,1.00,1.09,1.91,2.19,3.92,6.13,18.43,224.87,0.7644
SCF-w1024,52616,37650529,19944.07,0.00,0.00,728.00,8917.00,11938.00,25005.00,52972.50,296022.70,8242201.00,2.24,1.00,1.00,1.09,1.91,2.19,3.92,6.13,18.43,224.87,0.7644
LCF-w2,52616,37609737,53498.66,0.00,0.00,13777.50,59650.25,81307.00,170751.50,255411.75,397140.35,1641446.00,8.55,1.00,1.00,2.60,8.24,10.49,17.30,29.32,90.63,2161.72,0.7653
LCF-w4,52616,37596218,51956.30,0.00,0.00,11891.00,58573.50,81401.00,166767.00,244324.50,395587.10,1744333.00,8.40,1.00,1.00,2.55,7.55,9.45,15.97,27.89,93.49,1338.51,0.7655
LCF-w8,52616,37594123,55001.20,0.00,0.00,11558.50,64519.00,91865.00,171028.50,256393.25,437494.65,2630878.00,8.86,1.00,1.00,2.51,7.67,9.63,16.84,28.45,100.29,2109.74,0.7656
LCF-w16,52616,37553635,55105.41,0.00,15.00,12248.50,62745.25,85856.00,167392.00,251502.00,424374.15,2889626.00,9.63,1.00,1.00,2.65,7.65,9.69,17.08,34.68,108.46,1974.78,0.7664
LCF-w32,52616,37560394,61141.71,0.00,0.00,13109.50,73463.25,99056.00,190103.00,262808.25,470567.80,3006946.00,10.42,1.00,1.00,2.67,8.79,11.00,20.37,35.71,118.33,1993.28,0.7663
LCF-w64,52616,37564954,71688.20,0.00,0.00,12783.50,87265.75,122779.00,224732.50,308870.00,566284.80,3003769.00,12.51,1.00,1.00,2.73,9.85,12.53,22.86,45.99,138.37,2272.35,0.7662
LCF-w128,52616,37566495,82599.76,0.00,0.00,13057.00,94385.50,133548.00,256550.00,345088.00,669676.60,3604129.00,15.92,1.00,1.00,2.66,11.03,13.91,25.31,52.35,167.11,2003.29,0.7661
