1;1606820442.0;742266.0;254.0;512;-1.0;-1.0;512;32400.0;-1.0;1;41;23;-1;1;-1;-1;-1
2;1606831427.0;139206.0;1800.0;128;-1.0;-1.0;128;1800.0;-1.0;1;128;126;-1;2;-1;-1;-1
3;1606831882.0;51420.0;103.0;128;-1.0;-1.0;128;1800.0;-1.0;1;224;72;-1;1;-1;-1;-1
4;1606837426.0;702277.0;22844.0;512;-1.0;-1.0;512;25200.0;-1.0;1;211;58;-1;1;-1;-1;-1
5;1606838972.0;45731.0;1497.0;128;-1.0;-1.0;128;1800.0;-1.0;1;68;188;-1;1;-1;-1;-1
6;1606839045.0;176342.0;9000.0;802;-1.0;-1.0;802;9000.0;-1.0;1;149;21;-1;1;-1;-1;-1
7;1606839960.0;74959.0;1275.0;128;-1.0;-1.0;128;3600.0;-1.0;1;105;108;-1;1;-1;-1;-1
8;1606839998.0;39457.0;3600.0;128;-1.0;-1.0;128;3600.0;-1.0;1;115;22;-1;1;-1;-1;-1
9;1606840187.0;40484.0;3911.0;128;-1.0;-1.0;128;7200.0;-1.0;1;192;4;-1;1;-1;-1;-1
10;1606840997.0;39960.0;127.0;128;-1.0;-1.0;128;5400.0;-1.0;1;22;153;-1;1;-1;-1;-1
11;1606841006.0;40307.0;93.0;128;-1.0;-1.0;128;5400.0;-1.0;1;22;153;-1;1;-1;-1;-1
12;1606841892.0;74459.0;420.0;128;-1.0;-1.0;128;3600.0;-1.0;1;232;194;-1;1;-1;-1;-1
13;1606843261.0;382975.0;75597.0;875;-1.0;-1.0;875;86400.0;-1.0;1;245;164;-1;1;-1;-1;-1
14;1606844019.0;87655.0;54.0;256;-1.0;-1.0;256;7200.0;-1.0;1;164;150;-1;1;-1;-1;-1
15;1606844033.0;88044.0;74.0;256;-1.0;-1.0;256;7200.0;-1.0;1;164;150;-1;1;-1;-1;-1
16;1606845504.0;40042.0;169.0;128;-1.0;-1.0;128;1800.0;-1.0;1;243;57;-1;1;-1;-1;-1
17;1606847511.0;36192.0;3600.0;256;-1.0;-1.0;256;3600.0;-1.0;1;115;22;-1;1;-1;-1;-1
18;1606850181.0;132806.0;21600.0;256;-1.0;-1.0;256;21600.0;-1.0;1;243;57;-1;1;-1;-1;-1
19;1606855886.0;1171787.0;30709.0;512;-1.0;-1.0;512;32400.0;-1.0;1;83;12;-1;1;-1;-1;-1
20;1606855895.0;1278641.0;22972.0;512;-1.0;-1.0;512;32400.0;-1.0;1;83;12;-1;1;-1;-1;-1
21;1606855991.0;1202485.0;30705.0;512;-1.0;-1.0;512;32400.0;-1.0;1;83;12;-1;1;-1;-1;-1
22;1606856002.0;1267965.0;24850.0;512;-1.0;-1.0;512;32400.0;-1.0;1;83;12;-1;1;-1;-1;-1
23;1606856081.0;102438.0;10800.0;512;-1.0;-1.0;512;10800.0;-1.0;1;83;12;-1;1;-1;-1;-1
24;1606856803.0;892435.0;1565.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;19;7;-1;1;-1;-1;-1
25;1606856803.0;894128.0;46452.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;214;7;-1;1;-1;-1;-1
26;1606856810.0;940692.0;10776.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;214;7;-1;1;-1;-1;-1
27;1606856811.0;952916.0;201.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;19;7;-1;1;-1;-1;-1
28;1606857988.0;74491.0;21600.0;256;-1.0;-1.0;256;21600.0;-1.0;1;319;130;-1;1;-1;-1;-1
29;1606859705.0;37579.0;837.0;128;-1.0;-1.0;128;10800.0;-1.0;1;132;4;-1;1;-1;-1;-1
30;1606859805.0;42605.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;132;4;-1;1;-1;-1;-1
31;1606860384.0;1261527.0;1910.0;640;-1.0;-1.0;640;43200.0;-1.0;1;132;4;-1;1;-1;-1;-1
32;1606861300.0;55300.0;76.0;128;-1.0;-1.0;128;7200.0;-1.0;1;108;122;-1;1;-1;-1;-1
33;1606867523.0;147834.0;3600.0;2048;-1.0;-1.0;2048;3600.0;-1.0;1;160;58;-1;1;-1;-1;-1
34;1606867652.0;45775.0;3018.0;128;-1.0;-1.0;128;5400.0;-1.0;1;160;58;-1;1;-1;-1;-1
35;1606867788.0;47051.0;3012.0;128;-1.0;-1.0;128;5400.0;-1.0;1;160;58;-1;1;-1;-1;-1
36;1606868095.0;139237.0;10429.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
37;1606870594.0;939455.0;86400.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;248;7;-1;1;-1;-1;-1
38;1606870596.0;1378348.0;86400.0;4096;-1.0;-1.0;4096;86400.0;-1.0;1;248;7;-1;1;-1;-1;-1
39;1606875954.0;73100.0;3600.0;250;-1.0;-1.0;250;3600.0;-1.0;1;301;172;-1;1;-1;-1;-1
40;1606879411.0;130559.0;10553.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
41;1606880705.0;37341.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;85;57;-1;1;-1;-1;-1
42;1606883394.0;80453.0;4774.0;385;-1.0;-1.0;385;9600.0;-1.0;1;8;58;-1;1;-1;-1;-1
43;1606888303.0;80200.0;3600.0;512;-1.0;-1.0;512;3600.0;-1.0;1;115;22;-1;1;-1;-1;-1
44;1606891495.0;119446.0;10653.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
45;1606898201.0;117187.0;10712.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
46;1606899421.0;29798.0;693.0;134;-1.0;-1.0;134;10800.0;-1.0;1;281;33;-1;1;-1;-1;-1
47;1606902174.0;113411.0;10646.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
48;1606922781.0;15509.0;3600.0;128;-1.0;-1.0;128;3600.0;-1.0;1;132;4;-1;1;-1;-1;-1
49;1606922931.0;15570.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;132;4;-1;1;-1;-1;-1
50;1606923200.0;29182.0;625.0;128;-1.0;-1.0;128;1800.0;-1.0;1;243;57;-1;1;-1;-1;-1
51;1606923409.0;82965.0;21600.0;256;-1.0;-1.0;256;21600.0;-1.0;1;132;4;-1;1;-1;-1;-1
52;1606923421.0;17859.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;132;4;-1;1;-1;-1;-1
53;1606923946.0;18287.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;132;4;-1;1;-1;-1;-1
54;1606923967.0;94131.0;21600.0;256;-1.0;-1.0;256;21600.0;-1.0;1;132;4;-1;1;-1;-1;-1
55;1606924358.0;20387.0;2056.0;128;-1.0;-1.0;128;7200.0;-1.0;1;192;4;-1;1;-1;-1;-1
56;1606925210.0;164367.0;21600.0;256;-1.0;-1.0;256;21600.0;-1.0;1;119;4;-1;1;-1;-1;-1
57;1606925231.0;23077.0;3600.0;128;-1.0;-1.0;128;3600.0;-1.0;1;119;4;-1;1;-1;-1;-1
58;1606925627.0;23925.0;2992.0;128;-1.0;-1.0;128;5400.0;-1.0;1;160;58;-1;1;-1;-1;-1
59;1606925984.0;26138.0;2925.0;128;-1.0;-1.0;128;5400.0;-1.0;1;160;58;-1;1;-1;-1;-1
60;1606926235.0;632667.0;23017.0;512;-1.0;-1.0;512;25200.0;-1.0;1;211;58;-1;1;-1;-1;-1
61;1606926392.0;26394.0;1018.0;128;-1.0;-1.0;128;3600.0;-1.0;1;105;108;-1;1;-1;-1;-1
62;1606927328.0;144271.0;10449.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
63;1606927575.0;174186.0;10612.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
64;1606931141.0;984774.0;12904.0;1024;-1.0;-1.0;1024;21600.0;-1.0;1;141;61;-1;1;-1;-1;-1
65;1606931932.0;21261.0;10789.0;128;-1.0;-1.0;128;10800.0;-1.0;1;238;106;-1;1;-1;-1;-1
66;1606931964.0;38151.0;3600.0;1792;-1.0;-1.0;1792;3600.0;-1.0;1;115;22;-1;1;-1;-1;-1
67;1606932580.0;20690.0;3600.0;128;-1.0;-1.0;128;3600.0;-1.0;1;327;131;-1;1;-1;-1;-1
68;1606933662.0;20299.0;3600.0;128;-1.0;-1.0;128;3600.0;-1.0;1;308;97;-1;1;-1;-1;-1
69;1606937695.0;17870.0;10800.0;128;-1.0;-1.0;128;10800.0;-1.0;1;85;57;-1;1;-1;-1;-1
70;1606937871.0;18875.0;10800.0;256;-1.0;-1.0;256;10800.0;-1.0;1;85;40;-1;1;-1;-1;-1
71;1606938205.0;250836.0;10585.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
72;1606938374.0;250726.0;10526.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
73;1606940698.0;249031.0;10634.0;128;-1.0;-1.0;128;10800.0;-1.0;1;67;143;-1;1;-1;-1;-1
