System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,0.8333,454.2000,673.0333,1004.0333,1286.9033,1963.9633,3390.1267,41815.1167,833.9913,769.9043,638.6362
Theta 2021,Random,0.0167,14.1625,54.9583,199.1167,367.7583,914.4708,1396.4967,5824.7167,187.4375,330.3683,47.6495
Theta 2021,WFP,0.0667,148.2125,395.6083,907.9833,1401.3667,2519.5250,3955.0333,6707.2500,706.3378,851.7580,325.0395
Theta 2021,MARS-CW,0.0167,7.3667,30.4167,134.1667,283.0608,723.8583,1561.6653,5277.8833,151.2784,330.2357,26.9925
Theta 2021,MARS-CU,0.0167,23.6458,93.6917,300.1917,513.0233,1147.7117,2382.8067,7534.9167,269.9026,474.3767,74.6094
Theta 2021,FCFS,0.0500,212.0500,956.4167,2655.5083,3700.2950,6210.9675,9071.5173,12607.9500,1741.9814,2076.9111,641.1082
Theta 2021,SJF,0.0167,13.6375,43.5750,123.2958,216.1408,514.8233,1070.4103,4907.5000,120.4921,229.6563,37.0516
Theta 2021,F1,0.0167,10.8333,34.4000,97.2667,175.7000,529.7833,970.0287,4907.5000,106.6422,224.2191,29.9835
Polaris 2024,RLScheduler,0.0333,64.0333,153.8750,344.4833,533.3333,917.3317,1316.6203,2316.1167,264.7967,300.7746,133.6094
Polaris 2024,Random,0.0167,14.1750,51.6833,143.3000,215.0800,467.6900,846.5927,1965.9667,117.0996,176.7332,37.7346
Polaris 2024,WFP,0.0167,36.4167,122.1583,307.5042,486.6000,936.8208,1936.2583,5224.6167,256.0275,403.4188,84.5871
Polaris 2024,MARS-CW,0.0167,7.4667,34.0167,109.9000,200.2917,617.5400,1062.3783,2126.5500,118.1358,224.4328,24.9579
Polaris 2024,MARS-CU,0.0167,15.8667,68.1333,191.3833,301.6117,686.2200,1180.5657,1965.9667,156.4708,231.2891,42.4682
Polaris 2024,FCFS,0.0167,73.3667,236.2500,665.9583,1037.4817,1605.0733,2624.7543,4655.3000,466.2842,576.0112,159.0390
Polaris 2024,SJF,0.0167,13.3333,49.4000,134.9000,204.5617,508.5067,864.9667,1965.9667,113.9968,175.3369,34.7022
Polaris 2024,F1,0.0167,10.4500,36.0750,105.0792,174.3425,332.9108,652.3000,1965.9667,85.3999,129.7167,27.3428
