System,Metric,Job_Class,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Wait_Time_hours,S,WFP,RLScheduler,RLScheduler,lower_is_better,19733,7.5700,11.2172,16.7339,13.8999,-206.45,-70.13,-10.58,-18.07
Theta 2021,Wait_Time_hours,S,WFP,Random,Random,lower_is_better,12756,0.2360,0.9160,3.3186,3.1240,90.44,86.11,78.07,73.46
Theta 2021,Wait_Time_hours,S,WFP,WFP,WFP,lower_is_better,17526,2.4702,6.5935,15.1331,11.7723,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,S,WFP,MARS-CW,MARS-CW,lower_is_better,12088,0.1228,0.5069,2.2361,2.5213,95.03,92.31,85.22,78.58
Theta 2021,Wait_Time_hours,S,WFP,MARS-CU,MARS-CU,lower_is_better,14512,0.3941,1.5615,5.0032,4.4984,84.05,76.32,66.94,61.79
Theta 2021,Wait_Time_hours,S,WFP,FCFS,FCFS,lower_is_better,17098,3.5342,15.9403,44.2585,29.0330,-43.07,-141.76,-192.46,-146.62
Theta 2021,Wait_Time_hours,S,WFP,SJF,SJF,lower_is_better,12314,0.2273,0.7263,2.0549,2.0082,90.80,88.99,86.42,82.94
Theta 2021,Wait_Time_hours,S,WFP,F1,F1,lower_is_better,11105,0.1806,0.5733,1.6211,1.7774,92.69,91.30,89.29,84.90
Theta 2021,Wait_Time_hours,M,WFP,RLScheduler,RLScheduler,lower_is_better,8449,8.9322,13.1231,23.1225,23.3174,-84.31,-6.12,31.55,11.15
Theta 2021,Wait_Time_hours,M,WFP,Random,Random,lower_is_better,6210,0.4789,1.8718,5.3510,4.1078,90.12,84.86,84.16,84.35
Theta 2021,Wait_Time_hours,M,WFP,WFP,WFP,lower_is_better,7897,4.8464,12.3667,33.7806,26.2423,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,M,WFP,MARS-CW,MARS-CW,lower_is_better,5911,0.1986,0.9383,4.4251,4.3600,95.90,92.41,86.90,83.39
Theta 2021,Wait_Time_hours,M,WFP,MARS-CU,MARS-CU,lower_is_better,6729,0.7792,3.1903,9.3750,7.2612,83.92,74.20,72.25,72.33
Theta 2021,Wait_Time_hours,M,WFP,FCFS,FCFS,lower_is_better,7458,7.3985,32.8640,69.9797,47.1760,-52.66,-165.75,-107.16,-79.77
Theta 2021,Wait_Time_hours,M,WFP,SJF,SJF,lower_is_better,6179,0.4208,1.3964,4.0186,3.1612,91.32,88.71,88.10,87.95
Theta 2021,Wait_Time_hours,M,WFP,F1,F1,lower_is_better,5621,0.3592,1.3986,3.7417,2.8902,92.59,88.69,88.92,88.99
Theta 2021,Wait_Time_hours,L,WFP,RLScheduler,RLScheduler,lower_is_better,4776,12.3575,24.7664,85.5099,145.9595,-66.46,-2.00,-10.90,-151.31
Theta 2021,Wait_Time_hours,L,WFP,Random,Random,lower_is_better,4125,1.7167,5.8197,14.6928,11.1100,76.88,76.03,80.95,80.87
Theta 2021,Wait_Time_hours,L,WFP,WFP,WFP,lower_is_better,4614,7.4235,24.2812,77.1076,58.0802,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,L,WFP,MARS-CW,MARS-CW,lower_is_better,3900,0.7497,3.4450,12.7966,24.5854,89.90,85.81,83.40,57.67
Theta 2021,Wait_Time_hours,L,WFP,MARS-CU,MARS-CU,lower_is_better,4218,2.2997,9.3029,21.7276,16.9725,69.02,61.69,71.82,70.78
Theta 2021,Wait_Time_hours,L,WFP,FCFS,FCFS,lower_is_better,4452,16.7078,58.2368,109.4844,70.2186,-125.06,-139.84,-41.99,-20.90
Theta 2021,Wait_Time_hours,L,WFP,SJF,SJF,lower_is_better,4133,1.1603,3.7225,11.5431,19.8692,84.37,84.67,85.03,65.79
Theta 2021,Wait_Time_hours,L,WFP,F1,F1,lower_is_better,3904,1.2559,4.2185,10.3371,8.0476,83.08,82.63,86.59,86.14
Theta 2021,Wait_Time_hours,XL,WFP,RLScheduler,RLScheduler,lower_is_better,1209,40.6317,145.5622,870.2147,679.3209,-129.33,-195.04,-590.29,-669.16
Theta 2021,Wait_Time_hours,XL,WFP,Random,Random,lower_is_better,1176,15.1258,61.9142,285.1612,393.7685,14.63,-25.49,-126.20,-345.85
Theta 2021,Wait_Time_hours,XL,WFP,WFP,WFP,lower_is_better,1194,17.7172,49.3369,126.0646,88.3193,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,XL,WFP,MARS-CW,MARS-CW,lower_is_better,1152,7.8634,33.2833,249.3394,969.3948,55.62,32.54,-97.79,-997.60
Theta 2021,Wait_Time_hours,XL,WFP,MARS-CU,MARS-CU,lower_is_better,1188,20.8339,73.1553,222.1612,254.3797,-17.59,-48.28,-76.23,-188.02
Theta 2021,Wait_Time_hours,XL,WFP,FCFS,FCFS,lower_is_better,1187,45.2658,95.7589,164.8587,110.7645,-155.49,-94.09,-30.77,-25.41
Theta 2021,Wait_Time_hours,XL,WFP,SJF,SJF,lower_is_better,1170,7.4735,17.5578,279.8733,484.5148,57.82,64.41,-122.01,-448.59
Theta 2021,Wait_Time_hours,XL,WFP,F1,F1,lower_is_better,1170,15.1518,55.6506,323.5101,496.1438,14.48,-12.80,-156.62,-461.76
Polaris 2024,Wait_Time_hours,S,WFP,RLScheduler,RLScheduler,lower_is_better,17972,1.0672,2.5646,5.7414,4.4133,-75.84,-25.96,-12.03,-3.43
Polaris 2024,Wait_Time_hours,S,WFP,Random,Random,lower_is_better,10587,0.2363,0.8614,2.3883,1.9517,61.08,57.69,53.40,54.26
Polaris 2024,Wait_Time_hours,S,WFP,WFP,WFP,lower_is_better,13686,0.6069,2.0360,5.1251,4.2671,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,S,WFP,MARS-CW,MARS-CW,lower_is_better,10579,0.1244,0.5669,1.8317,1.9689,79.50,72.15,64.26,53.86
Polaris 2024,Wait_Time_hours,S,WFP,MARS-CU,MARS-CU,lower_is_better,12303,0.2644,1.1356,3.1897,2.6078,56.43,44.23,37.76,38.89
Polaris 2024,Wait_Time_hours,S,WFP,FCFS,FCFS,lower_is_better,14555,1.2228,3.9375,11.0993,7.7714,-101.46,-93.40,-116.57,-82.12
Polaris 2024,Wait_Time_hours,S,WFP,SJF,SJF,lower_is_better,10640,0.2222,0.8233,2.2483,1.8999,63.39,59.56,56.13,55.47
Polaris 2024,Wait_Time_hours,S,WFP,F1,F1,lower_is_better,9442,0.1742,0.6013,1.7513,1.4233,71.30,70.47,65.83,66.64
Polaris 2024,Wait_Time_hours,M,WFP,RLScheduler,RLScheduler,lower_is_better,13304,2.4542,5.1392,9.7900,7.5010,-7.95,36.85,57.54,52.16
Polaris 2024,Wait_Time_hours,M,WFP,Random,Random,lower_is_better,12937,0.8258,2.4856,5.8833,4.2193,63.67,69.46,74.48,73.09
Polaris 2024,Wait_Time_hours,M,WFP,WFP,WFP,lower_is_better,13899,2.2733,8.1383,23.0556,15.6784,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,M,WFP,MARS-CW,MARS-CW,lower_is_better,12690,0.4212,1.9551,6.2397,4.8904,81.47,75.98,72.94,68.81
Polaris 2024,Wait_Time_hours,M,WFP,MARS-CU,MARS-CU,lower_is_better,13282,0.9810,2.9742,7.2624,5.3743,56.85,63.45,68.50,65.72
Polaris 2024,Wait_Time_hours,M,WFP,FCFS,FCFS,lower_is_better,13994,3.1138,11.3696,33.2117,21.5803,-36.97,-39.70,-44.05,-37.64
Polaris 2024,Wait_Time_hours,M,WFP,SJF,SJF,lower_is_better,13093,0.8719,2.6456,6.7986,5.4782,61.64,67.49,70.51,65.06
Polaris 2024,Wait_Time_hours,M,WFP,F1,F1,lower_is_better,12456,0.6833,2.0906,4.7972,3.5381,69.94,74.31,79.19,77.43
Polaris 2024,Wait_Time_hours,L,WFP,RLScheduler,RLScheduler,lower_is_better,6263,2.8315,7.1022,17.3754,24.1010,7.47,34.09,50.66,12.61
Polaris 2024,Wait_Time_hours,L,WFP,Random,Random,lower_is_better,6149,1.7561,6.6308,18.1692,16.9812,42.61,38.46,48.41,38.42
Polaris 2024,Wait_Time_hours,L,WFP,WFP,WFP,lower_is_better,6417,3.0600,10.7753,35.2153,27.5777,0.00,0.00,0.00,0.00
