System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,0.4833,741.4500,1485.9833,5130.5958,11661.8708,42314.9292,126534.6792,326304.8500,8757.5729,24589.2562,2171.4097
Theta 2021,Random,0.0333,103.0000,349.1833,881.5667,1274.5733,2303.0633,4804.7787,10164.7000,666.6019,965.8246,258.8316
Theta 2021,WFP,0.4500,445.4125,1456.8750,4626.4542,7080.7200,13502.1492,21941.6815,42936.0667,3484.8098,4937.7173,1272.5263
Theta 2021,MARS-CW,0.0167,44.9792,206.7000,767.7958,1257.2258,3864.1867,19552.4005,223713.4167,1475.1217,8916.3151,165.8065
Theta 2021,MARS-CU,0.0167,137.9792,558.1750,1303.6542,2017.8250,3646.8242,7079.8838,11899.2167,1018.3476,1402.7301,363.4965
Theta 2021,FCFS,0.0667,1002.4667,3494.2083,6569.0667,8420.0283,11268.0158,14989.8893,20889.8000,4213.1185,3725.1837,1998.2339
Theta 2021,SJF,0.0167,69.6167,223.3500,692.5833,1232.9300,6619.6833,18714.2780,37475.0500,1192.1513,3291.0388,216.5058
Theta 2021,F1,0.0333,75.3542,253.1083,620.2250,879.2308,1635.7458,3887.6847,8897.7500,482.8575,752.3134,185.1002
Polaris 2024,RLScheduler,0.0833,169.8917,426.1333,1042.5250,1511.5850,4010.0233,22619.2827,143045.0333,1446.0591,5183.5730,394.8678
Polaris 2024,Random,0.0167,105.3667,397.8500,1090.1500,1680.6133,4473.0267,9183.8327,17199.6500,1018.8727,1843.6085,278.8526
Polaris 2024,WFP,0.0333,183.6000,646.5167,2112.9167,3073.6033,5696.5133,17440.9367,26933.9333,1654.6594,2958.9333,496.6530
Polaris 2024,MARS-CW,0.0167,53.6500,241.3333,912.6458,2157.2725,8428.1633,47550.6027,75919.5333,2027.9353,7372.4065,209.1477
Polaris 2024,MARS-CU,0.0167,116.3417,445.0333,1446.3750,2304.1683,4661.2133,9132.7730,21846.3000,1171.4324,1918.4857,319.2039
Polaris 2024,FCFS,0.0333,294.2167,1239.1500,3537.8583,4828.6517,6612.2300,12292.7253,15053.8167,2177.8206,2463.7255,788.4666
Polaris 2024,SJF,0.0333,80.7792,300.3667,891.3958,1600.8283,8650.0825,28608.8808,41348.3000,1667.2383,4828.2176,250.5314
Polaris 2024,F1,0.0167,87.9333,306.1167,836.2292,1325.3725,3188.6142,8152.1288,18386.5000,798.0529,1557.7452,217.1091
