System,Job_Class,N_WFP,N_MARS-CW,Min_Change_vs_WFP_Pct,P25_Change_vs_WFP_Pct,P50_Change_vs_WFP_Pct,P75_Change_vs_WFP_Pct,P85_Change_vs_WFP_Pct,P95_Change_vs_WFP_Pct,P99_Change_vs_WFP_Pct,Max_Change_vs_WFP_Pct,Mean_Change_vs_WFP_Pct,StdDev_Change_vs_WFP_Pct,GeometricMean_Change_vs_WFP_Pct
Theta 2021,All,31231,23051,50.00,94.52,90.25,80.97,76.68,69.02,-314.23,-1330.86,-118.45,-1096.76,89.61
Theta 2021,S,17526,12088,75.00,95.03,92.31,85.22,79.80,71.27,60.51,21.31,78.58,61.23,91.70
Theta 2021,M,7897,5911,50.00,95.90,92.41,86.90,84.37,80.67,75.67,7.37,83.39,70.80,92.73
Theta 2021,L,4614,3900,96.30,89.90,85.81,83.40,82.24,71.38,10.89,-421.04,57.67,-80.58,86.97
Theta 2021,XL,1194,1152,99.16,55.62,32.54,-97.79,-707.02,-2556.23,-2211.04,-1554.29,-997.60,-2271.47,-2.14
Polaris 2024,All,38196,32869,0.00,76.04,69.71,62.68,59.84,40.02,-118.69,-427.56,2.30,-191.47,68.76
Polaris 2024,S,13686,10579,0.00,79.50,72.15,64.26,58.84,34.08,45.13,59.30,53.86,44.37,70.49
Polaris 2024,M,13899,12690,0.00,81.47,75.98,72.94,70.03,63.31,61.42,8.40,68.81,60.34,77.63
Polaris 2024,L,6417,6024,50.00,70.78,62.67,56.81,29.81,-47.95,-172.64,-181.87,-22.56,-149.16,57.89
Polaris 2024,XL,1309,1314,40.00,-0.69,-37.61,-118.04,-237.03,-310.60,-408.96,-427.56,-232.82,-384.96,-41.52
