cycle,root_branching_factor,selected_policy,possible_job_sets
496,1,WFP,"|249|"
497,1,NONE,""
498,1,WFP,"|250|"
499,1,WFP,"|251|"
500,1,NONE,""
501,1,WFP,"|252|"
502,1,NONE,""
503,1,NONE,""
504,1,WFP,"|253|"
505,1,NONE,""
506,1,WFP,"|254|"
507,1,NONE,""
508,1,WFP,"|255|"
509,1,WFP,"|256|"
510,1,WFP,"|257|"
511,1,WFP,"|258|"
512,1,NONE,""
513,1,WFP,"|259|"
514,1,WFP,"|260|"
515,1,NONE,""
516,1,WFP,"|261|"
517,1,WFP,"|262|"
518,1,NONE,""
519,1,WFP,"|263|"
520,1,NONE,""
521,1,NONE,""
522,1,NONE,""
523,1,WFP,"|264|"
524,1,NONE,""
525,1,WFP,"|265|"
526,1,WFP,"|266|"
527,1,DRAIN,"|267|"
528,1,DRAIN,"|267|"
529,1,DRAIN,"|267|"
530,1,WFP,"|267|"
531,1,NONE,""
532,1,WFP,"|268|"
533,1,DRAIN,"|269|"
534,1,WFP,"|269|"
535,1,NONE,""
536,1,WFP,"|270|"
537,1,DRAIN,"|271|"
538,1,WFP,"|271|"
539,1,DRAIN,"|272|"
540,1,WFP,"|272|"
541,1,DRAIN,"|273|"
542,1,WFP,"|273|"
543,1,NONE,""
544,1,WFP,"|274|"
545,1,WFP,"|275|"
546,1,DRAIN,"|276|"
547,1,BACKFILL,"|276|"
548,1,DRAIN,"|276|"
549,1,DRAIN,"|278|"
550,1,BACKFILL,"|278|"
551,1,WFP,"|278|"
552,1,DRAIN,"|279|"
553,1,BACKFILL,"|279|"
554,1,DRAIN,"|279|"
555,1,WFP,"|279|"
556,1,BACKFILL,"|276|"
557,1,DRAIN,"|276|"
558,1,WFP,"|283|"
559,1,DRAIN,"|276|"
560,1,DRAIN,"|276|"
561,1,DRAIN,"|284|"
562,1,DRAIN,"|284|"
563,1,DRAIN,"|284|"
564,1,DRAIN,"|284|"
565,1,BACKFILL,"|284|"
566,1,DRAIN,"|284|"
567,1,BACKFILL,"|284|"
568,1,BACKFILL,"|284|"
569,1,DRAIN,"|284|"
570,1,BACKFILL,"|284|"
571,1,DRAIN,"|284|"
572,1,DRAIN,"|284|"
573,1,WFP,"|284|"
574,1,BACKFILL,"|285|"
575,1,WFP,"|285|"
576,1,NONE,""
577,1,WFP,"|291|"
578,1,WFP,"|292|"
579,1,NONE,""
580,1,NONE,""
581,1,NONE,""
582,1,NONE,""
583,1,NONE,""
584,1,WFP,"|293|"
585,1,NONE,""
586,1,WFP,"|294|"
587,1,WFP,"|295|"
588,1,WFP,"|296|"
589,1,NONE,""
590,1,NONE,""
591,1,NONE,""
592,1,WFP,"|297|"
593,1,WFP,"|298|"
594,1,WFP,"|299|"
595,1,WFP,"|300|"
596,1,NONE,""
597,1,DRAIN,"|301|"
598,1,WFP,"|301|"
599,1,NONE,""
600,1,WFP,"|302|"
601,1,NONE,""
602,1,WFP,"|303|"
603,1,NONE,""
604,1,NONE,""
605,1,WFP,"|304|"
606,1,WFP,"|305|"
607,1,NONE,""
608,1,WFP,"|306|"
609,1,NONE,""
610,1,WFP,"|308|"
611,1,DRAIN,"|311|"
612,1,DRAIN,"|311|"
613,1,DRAIN,"|311|"
614,1,DRAIN,"|311|"
615,1,DRAIN,"|311|"
616,1,DRAIN,"|311|"
617,1,DRAIN,"|311|"
618,1,DRAIN,"|311|"
619,1,DRAIN,"|311|"
620,1,DRAIN,"|311|"
621,1,DRAIN,"|311|"
622,1,DRAIN,"|311|"
623,1,DRAIN,"|311|"
624,1,DRAIN,"|311|"
625,1,DRAIN,"|311|"
626,1,DRAIN,"|311|"
627,1,DRAIN,"|311|"
628,1,DRAIN,"|311|"
629,1,WFP,"|311|"
630,1,DRAIN,"|316|"
631,1,DRAIN,"|316|"
632,1,WFP,"|316|"
633,1,DRAIN,"|318|"
634,1,DRAIN,"|318|"
635,1,WFP,"|318|"
636,1,DRAIN,"|320|"
637,1,WFP,"|320|"
638,1,DRAIN,"|322|"
639,1,WFP,"|322|"
640,1,DRAIN,"|327|"
641,1,WFP,"|327|"
642,1,DRAIN,"|313|"
643,1,WFP,"|313|"
644,1,DRAIN,"|315|"
645,1,WFP,"|315|"
646,1,DRAIN,"|325|"
647,1,WFP,"|325|"
648,1,NONE,""
649,1,NONE,""
650,1,NONE,""
651,1,NONE,""
652,1,NONE,""
653,1,NONE,""
654,1,WFP,"|329|"
655,1,NONE,""
656,1,WFP,"|331|"
657,1,DRAIN,"|334|"
658,1,DRAIN,"|334|"
659,1,DRAIN,"|334|"
660,1,DRAIN,"|334|"
661,1,DRAIN,"|334|"
662,1,DRAIN,"|334|"
663,1,DRAIN,"|334|"
664,1,DRAIN,"|334|"
665,1,DRAIN,"|334|"
666,1,DRAIN,"|334|"
667,1,DRAIN,"|334|"
668,1,DRAIN,"|334|"
669,1,DRAIN,"|334|"
670,1,DRAIN,"|334|"
671,1,DRAIN,"|334|"
672,1,DRAIN,"|334|"
673,1,DRAIN,"|334|"
674,1,DRAIN,"|334|"
675,1,DRAIN,"|334|"
676,1,DRAIN,"|334|"
677,1,DRAIN,"|334|"
678,1,DRAIN,"|334|"
679,1,DRAIN,"|334|"
680,1,DRAIN,"|334|"
681,1,DRAIN,"|334|"
682,1,DRAIN,"|334|"
683,1,DRAIN,"|342|"
684,1,DRAIN,"|342|"
685,1,DRAIN,"|342|"
686,1,DRAIN,"|342|"
687,1,DRAIN,"|342|"
688,1,DRAIN,"|342|"
689,1,DRAIN,"|342|"
690,1,DRAIN,"|342|"
691,1,DRAIN,"|342|"
692,1,DRAIN,"|342|"
693,1,DRAIN,"|342|"
694,1,DRAIN,"|342|"
695,1,DRAIN,"|342|"
696,1,DRAIN,"|342|"
697,1,DRAIN,"|342|"
698,1,DRAIN,"|342|"
699,1,DRAIN,"|342|"
700,1,DRAIN,"|342|"
701,1,DRAIN,"|342|"
702,1,DRAIN,"|342|"
703,1,DRAIN,"|342|"
704,1,DRAIN,"|342|"
705,1,DRAIN,"|342|"
706,1,DRAIN,"|342|"
707,1,DRAIN,"|342|"
708,1,DRAIN,"|342|"
709,1,DRAIN,"|342|"
710,1,DRAIN,"|342|"
711,1,DRAIN,"|342|"
712,1,DRAIN,"|342|"
713,1,DRAIN,"|342|"
714,1,DRAIN,"|342|"
715,1,DRAIN,"|342|"
716,1,DRAIN,"|342|"
717,1,DRAIN,"|342|"
718,1,DRAIN,"|342|"
719,1,DRAIN,"|342|"
720,1,DRAIN,"|342|"
721,1,DRAIN,"|342|"
722,1,DRAIN,"|342|"
723,1,DRAIN,"|342|"
724,1,DRAIN,"|342|"
725,1,DRAIN,"|342|"
726,1,DRAIN,"|342|"
727,1,DRAIN,"|342|"
728,1,DRAIN,"|342|"
729,1,DRAIN,"|342|"
730,1,DRAIN,"|342|"
731,1,DRAIN,"|342|"
732,1,DRAIN,"|342|"
733,1,DRAIN,"|342|"
734,1,DRAIN,"|342|"
735,1,DRAIN,"|342|"
736,1,DRAIN,"|342|"
737,1,DRAIN,"|342|"
738,1,WFP,"|342|"
739,1,WFP,"|345|"
740,1,DRAIN,"|346|"
741,1,WFP,"|346|"
742,1,WFP,"|347|"
743,1,WFP,"|348|"
744,1,WFP,"|349|"
745,1,WFP,"|350|"
746,1,WFP,"|352|"
747,1,WFP,"|353|"
748,1,WFP,"|354|"
749,1,WFP,"|355|"
750,1,WFP,"|356|"
751,1,WFP,"|369|"
752,1,WFP,"|372|"
753,1,WFP,"|373|"
754,1,DRAIN,"|374|"
755,1,DRAIN,"|374|"
756,1,WFP,"|374|"
757,1,WFP,"|375|"
758,1,WFP,"|376|"
759,1,WFP,"|377|"
760,1,WFP,"|378|"
761,1,DRAIN,"|379|"
762,1,WFP,"|379|"
763,1,WFP,"|380|"
764,1,WFP,"|415|"
765,1,WFP,"|413|"
766,1,WFP,"|381|"
767,1,WFP,"|382|"
768,1,WFP,"|383|"
769,1,DRAIN,"|384|"
770,1,DRAIN,"|384|"
