System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,22,79.6932,81.4047,83.0427,79.5796,-11.82,-11.74,-11.20,-11.05
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,22,88.8901,92.6242,94.1943,89.6432,-1.64,0.42,0.73,0.20
Theta 2021,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,22,89.9556,92.3980,93.9411,88.7999,-0.46,0.18,0.46,-0.74
Theta 2021,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,22,78.5778,82.7671,85.2820,81.0649,-13.05,-10.26,-8.80,-9.39
Theta 2021,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,22,81.0084,84.7171,87.9878,82.4185,-10.36,-8.15,-5.91,-7.87
Polaris 2024,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,68.1336,68.1336,68.1336,68.1336,-1.78,-11.00,-15.73,-9.51
Polaris 2024,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,10,69.6038,77.0123,81.3275,75.5009,0.34,0.59,0.58,0.27
Polaris 2024,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,10,69.3689,76.5574,80.8549,75.2949,0.00,0.00,0.00,0.00
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,10,69.3620,74.8534,80.2582,74.4890,-0.01,-2.23,-0.74,-1.07
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,10,69.6667,76.7884,81.3270,75.5406,0.43,0.30,0.58,0.33
Polaris 2024,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,10,70.3055,75.1672,80.8643,74.6627,1.35,-1.82,0.01,-0.84
Polaris 2024,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,10,69.5294,77.3658,82.1154,75.4060,0.23,1.06,1.56,0.15
Polaris 2024,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,10,70.8446,75.4697,82.9401,75.1594,2.13,-1.42,2.58,-0.18
