System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,0.8333,454.2000,673.0333,1004.0333,1286.9033,1963.9633,3390.1267,41815.1167,833.9913,769.9043,638.6362
Theta 2021,Random,0.0167,14.1625,54.9583,199.1167,367.7583,914.4708,1396.4967,5824.7167,187.4375,330.3683,47.6495
Theta 2021,WFP,0.0167,141.9917,435.4667,1003.9333,1429.7483,2427.4250,3519.5703,7450.1333,716.1452,807.8057,334.8652
Theta 2021,MARS-CW,0.0167,7.3667,30.4167,134.1667,283.0608,723.8583,1561.6653,5277.8833,151.2784,330.2357,26.9925
Theta 2021,MARS-CU,0.0167,23.6458,93.6917,300.1917,513.0233,1147.7117,2382.8067,7534.9167,269.9026,474.3767,74.6094
Theta 2021,FCFS,0.0167,183.4667,765.4500,2092.6625,2960.2892,4266.6433,6752.9435,9460.0500,1338.9729,1507.1912,530.0138
Theta 2021,SJF,0.0167,16.3250,55.7000,166.1667,343.2917,915.8333,1312.5728,4907.5000,179.8168,319.3148,48.8002
Theta 2021,F1,0.0167,10.4667,34.3500,100.0167,182.2167,531.8500,924.7333,4907.5000,108.1539,223.1993,29.5279
Polaris 2024,RLScheduler,0.0333,64.0333,153.8750,344.4833,533.3333,917.3317,1316.6203,2316.1167,264.7967,300.7746,133.6094
Polaris 2024,Random,0.0167,14.1750,51.6833,143.3000,215.0800,467.6900,846.5927,1965.9667,117.0996,176.7332,37.7346
Polaris 2024,WFP,0.0167,29.4208,101.4417,239.5167,376.5483,840.9417,2243.9638,5224.6167,227.9529,439.5998,66.4325
Polaris 2024,MARS-CW,0.0167,7.4667,34.0167,109.9000,200.2917,617.5400,1062.3783,2126.5500,118.1358,224.4328,24.9579
Polaris 2024,MARS-CU,0.0167,15.8667,68.1333,191.3833,301.6117,686.2200,1180.5657,1965.9667,156.4708,231.2891,42.4682
Polaris 2024,FCFS,0.0167,49.0083,174.2917,492.1542,710.3933,1293.2958,1858.6545,3014.5333,345.7895,439.0553,116.8937
Polaris 2024,SJF,0.0167,12.8167,47.0833,137.0583,228.7867,493.9383,873.4740,1965.9667,116.1183,180.0396,34.7015
Polaris 2024,F1,0.0167,10.4833,38.6833,112.9750,176.3950,340.7283,652.3000,1965.9667,87.3963,129.9714,28.3019
