System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,0.4833,512.9333,757.5167,1339.7833,1992.9383,7723.1717,79380.4133,348157.4333,3494.0675,16781.9261,901.3703
Theta 2021,Random,0.0167,23.8500,105.5333,386.5583,713.4917,1701.4950,22429.6270,403275.6833,1419.8529,12473.5247,90.2869
Theta 2021,WFP,0.0167,223.9917,649.2083,1555.3458,2617.2758,6343.6083,15226.0687,43146.9833,1564.2043,2900.1527,545.2525
Theta 2021,MARS-CW,0.0167,11.3417,56.1667,293.7333,616.0500,1933.3500,59597.6000,614354.2333,3302.7851,33607.0746,53.4113
Theta 2021,MARS-CU,0.0167,36.6833,160.0167,574.5167,1013.1850,2564.8567,15655.4853,199093.2500,1098.6613,7252.4753,132.9717
Theta 2021,FCFS,0.0167,296.8000,1198.2333,3102.4167,4301.6667,7962.3133,12887.0000,23975.3667,2201.5913,2743.5580,810.7244
Theta 2021,SJF,0.0167,25.1292,91.5250,360.5125,710.8167,1773.2217,119490.1470,147373.1000,2939.4948,16785.5686,92.5671
Theta 2021,F1,0.0167,17.6167,68.1667,267.0875,522.2000,1381.9125,32439.1483,552442.2000,1815.1727,19063.0828,64.3368
Polaris 2024,RLScheduler,0.0167,93.6292,241.4833,542.6542,805.2525,1566.8242,5841.0660,164266.0833,658.0040,3655.8549,207.3874
Polaris 2024,Random,0.0167,33.7625,123.0500,373.0375,643.9375,1910.0542,11088.1267,56994.1667,610.5092,2318.1445,101.7676
Polaris 2024,WFP,0.0167,67.4375,239.6083,805.4500,1505.7092,3553.6958,7507.8665,31590.9167,822.0582,1848.0168,196.7795
Polaris 2024,MARS-CW,0.0167,20.2000,89.7000,361.2667,693.6533,2049.1600,13912.6667,155081.3167,843.8123,4923.4254,73.4151
Polaris 2024,MARS-CU,0.0167,37.7833,154.0750,452.8042,792.6833,2288.1508,9928.2498,35879.0333,615.8599,1869.3648,112.8505
Polaris 2024,FCFS,0.0167,106.0167,368.3000,1103.3167,1912.5900,4600.0833,7344.7660,25805.1000,1007.0742,1699.1431,285.6927
Polaris 2024,SJF,0.0167,32.5500,127.1167,424.1167,691.4483,1767.3700,18850.6048,58930.0833,725.0286,3355.4632,103.3705
Polaris 2024,F1,0.0167,28.9833,108.1333,315.8167,537.2267,1591.0133,9105.0160,78629.1500,551.7563,2632.3136,83.8262
