System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,0.4833,741.4500,1485.9833,5130.5958,11661.8708,42314.9292,126534.6792,326304.8500,8757.5729,24589.2562,2171.4097
Theta 2021,Random,0.0333,103.0000,349.1833,881.5667,1274.5733,2303.0633,4804.7787,10164.7000,666.6019,965.8246,258.8316
Theta 2021,WFP,0.0833,586.4167,1708.9667,4898.3167,7422.8400,14454.4467,23306.3640,43146.9833,3769.0253,5168.1526,1502.9155
Theta 2021,MARS-CW,0.0167,44.9792,206.7000,767.7958,1257.2258,3864.1867,19552.4005,223713.4167,1475.1217,8916.3151,165.8065
Theta 2021,MARS-CU,0.0167,137.9792,558.1750,1303.6542,2017.8250,3646.8242,7079.8838,11899.2167,1018.3476,1402.7301,363.4965
Theta 2021,FCFS,0.0667,1005.0333,3286.3500,6041.2167,7866.9333,11190.4967,15851.5940,22122.3333,4018.4670,3688.4249,1915.7162
Theta 2021,SJF,0.0833,70.8583,264.5667,867.1583,1810.7650,81421.7767,137701.3807,147269.2500,8394.2412,27581.6269,316.0769
Theta 2021,F1,0.0167,81.0833,267.3833,655.2667,958.9900,1767.8233,4500.7760,8897.7500,520.3254,819.8201,190.1464
Polaris 2024,RLScheduler,0.0833,169.8917,426.1333,1042.5250,1511.5850,4010.0233,22619.2827,143045.0333,1446.0591,5183.5730,394.8678
Polaris 2024,Random,0.0167,105.3667,397.8500,1090.1500,1680.6133,4473.0267,9183.8327,17199.6500,1018.8727,1843.6085,278.8526
Polaris 2024,WFP,0.0333,162.3583,612.0250,1935.8083,3177.7517,6293.6008,16690.4787,31590.9167,1738.5483,3377.5760,464.4121
Polaris 2024,MARS-CW,0.0167,53.6500,241.3333,912.6458,2157.2725,8428.1633,47550.6027,75919.5333,2027.9353,7372.4065,209.1477
Polaris 2024,MARS-CU,0.0167,116.3417,445.0333,1446.3750,2304.1683,4661.2133,9132.7730,21846.3000,1171.4324,1918.4857,319.2039
Polaris 2024,FCFS,0.0333,269.3083,1024.8000,3619.4125,5079.5300,7061.3917,12093.4227,19250.4333,2206.8927,2624.9335,748.4325
Polaris 2024,SJF,0.0333,79.1792,292.9667,903.9167,1735.6158,8443.4675,36673.5318,57419.0667,1944.3238,6227.7147,259.6691
Polaris 2024,F1,0.0167,89.1333,307.7333,852.6500,1327.2967,3188.3033,8067.3693,18537.0167,802.4075,1558.7880,219.0491
