System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,34167,8.5489,12.6253,22.3297,58.2345,-129.00,-16.68,13.86,-123.38
Theta 2021,Wait_Time_hours,WFP,Random,Random,lower_is_better,24267,0.3975,1.7589,6.4426,23.6642,89.35,83.74,75.15,9.23
Theta 2021,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,31810,3.7332,10.8201,25.9224,26.0701,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,23051,0.1890,0.9361,4.8956,55.0464,94.94,91.35,81.11,-111.15
Theta 2021,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,26647,0.6114,2.6669,9.5753,18.3110,83.62,75.35,63.06,29.76
Theta 2021,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,30705,4.9467,19.9706,51.7069,36.6932,-32.50,-84.57,-99.47,-40.75
Theta 2021,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,23168,0.4188,1.5254,6.0085,48.9916,88.78,85.90,76.82,-87.92
Theta 2021,Wait_Time_hours,WFP,F1,F1,lower_is_better,21966,0.2936,1.1361,4.4515,30.2529,92.14,89.50,82.83,-16.04
Polaris 2024,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,41932,1.5605,4.0247,9.0442,10.9667,-38.84,-0.78,32.63,19.96
Polaris 2024,Wait_Time_hours,WFP,Random,Random,lower_is_better,33596,0.5627,2.0508,6.2173,10.1752,49.94,48.65,53.69,25.73
Polaris 2024,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,37942,1.1240,3.9935,13.4242,13.7010,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,32869,0.3367,1.4950,6.0211,14.0635,70.05,62.56,55.15,-2.65
