tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
FAT-w64,34696,37110120,166901.08,0.00,8143.75,80030.00,241044.75,290003.00,456509.00,634457.00,924764.85,1949709.00,24.66,1.00,2.46,12.08,32.08,39.52,63.56,88.46,168.81,470.66,0.8552
FAT-w128,34696,37109747,201473.06,0.00,9959.00,94955.00,286964.25,353873.00,562728.50,784442.75,1135235.15,1897899.00,27.71,1.00,2.72,15.13,40.23,49.21,72.15,92.55,164.68,345.78,0.8552
FAT-w256,34696,37109843,266930.53,0.00,11198.00,97801.00,350006.25,480975.00,820690.50,1116081.50,1764930.55,2337864.00,33.60,1.00,2.83,16.80,51.14,60.91,89.17,117.82,179.41,445.95,0.8552
FAT-w512,34696,37116406,260504.99,0.00,8002.75,68823.00,286166.75,391957.00,760629.50,1156415.25,2378824.75,2962580.00,30.18,1.00,2.37,12.31,41.33,50.91,82.25,108.65,224.61,302.63,0.8550
FAT-w1024,34696,37116406,273338.38,0.00,8460.75,68647.00,264359.75,383129.00,792394.00,1193849.00,3077351.30,3514506.00,30.83,1.00,2.39,12.94,40.91,50.44,81.67,107.65,285.94,326.42,0.8550
UNICEP-w2,34696,37131531,122709.62,0.00,7196.75,55997.00,178108.25,214160.00,336647.50,473383.25,710451.55,16567537.00,19.80,1.00,2.19,8.72,23.41,29.31,50.12,75.78,134.19,9205.19,0.8547
UNICEP-w4,34696,37123445,134617.94,0.00,6837.25,61766.50,191321.25,227233.00,378487.00,498527.75,756427.60,16567753.00,21.86,1.00,2.16,9.63,25.46,31.36,54.00,81.50,157.65,9205.31,0.8548
UNICEP-w8,34696,37124497,124981.53,0.00,5866.25,52632.50,184355.00,216061.00,324703.00,467508.75,707074.45,20350349.00,20.02,1.00,1.94,8.91,23.44,28.56,48.43,73.23,128.78,9205.65,0.8548
UNICEP-w16,34696,37196419,117817.78,0.00,3737.00,41885.00,156083.50,195980.00,308767.50,430823.75,728367.70,19003438.00,19.46,1.00,1.60,7.29,21.19,27.11,44.98,73.33,139.33,9201.79,0.8532
UNICEP-w32,34696,37309932,123017.15,0.00,1807.75,34252.00,134417.50,178988.00,286292.50,430464.75,799118.85,32134872.00,20.70,1.00,1.28,5.72,19.32,24.14,45.56,75.75,167.29,16098.73,0.8506
UNICEP-w64,34696,37458312,124354.40,0.00,604.00,20370.00,104351.25,144401.00,233396.00,339000.50,772157.40,32283197.00,20.54,1.00,1.09,3.86,15.88,20.59,38.30,64.44,146.88,16181.16,0.8472
UNICEP-w128,34696,37699726,116431.92,0.00,41.00,4489.50,37178.50,58004.00,143168.00,203797.75,885565.45,33851797.00,16.96,1.00,1.01,1.62,6.82,9.91,22.99,46.22,125.66,16315.28,0.8418
UNICEP-w256,34696,37797429,113108.69,0.00,6.00,1978.50,21697.25,35780.00,98374.00,202512.00,833766.80,33949500.00,16.43,1.00,1.00,1.28,3.99,6.09,18.30,39.96,163.44,16369.56,0.8396
UNICEP-w512,34696,37677145,111978.53,0.00,6.00,1936.50,20138.25,32913.00,91489.50,226646.00,855233.30,33829216.00,16.53,1.00,1.00,1.27,3.79,5.76,17.41,38.99,166.65,16302.74,0.8423
UNICEP-w1024,34696,37677145,111528.53,0.00,6.00,1923.00,19707.50,32474.00,88326.50,219599.25,855233.30,33829216.00,16.31,1.00,1.00,1.27,3.75,5.68,17.22,37.49,164.85,16302.74,0.8423
F1-w2,34696,37121501,123595.24,0.00,8399.00,53186.00,175083.25,209972.00,341611.50,482913.00,785109.95,4578362.00,19.88,1.00,2.30,8.85,22.99,28.70,50.05,75.14,161.82,587.71,0.8549
F1-w4,34696,37128062,123489.01,0.00,6414.75,50829.50,171839.75,216545.00,346639.00,448267.00,782185.25,7323019.00,20.12,1.00,1.96,8.13,23.25,29.36,50.79,81.05,162.85,547.14,0.8547
F1-w8,34696,37231803,133708.85,0.00,7935.50,53408.50,175799.50,223540.00,378799.50,503220.50,790343.90,10035898.00,21.32,1.00,2.17,8.98,25.40,31.64,53.83,79.63,174.70,535.32,0.8524
F1-w16,34696,37525398,111001.49,0.00,3440.75,36420.00,133112.50,177969.00,296993.50,420592.50,648849.95,15484579.00,16.86,1.00,1.56,6.08,19.56,24.49,42.92,67.99,143.08,609.97,0.8457
F1-w32,34696,38263791,97683.18,0.00,189.00,13945.50,69613.50,100727.00,247408.00,360149.00,680906.70,23255041.00,12.85,1.00,1.03,2.90,11.66,16.54,33.93,53.07,136.00,1064.02,0.8294
F1-w64,34696,39235371,78200.24,0.00,0.00,2267.00,19224.50,30277.00,86195.50,209683.50,651182.55,29151494.00,8.09,1.00,1.00,1.35,3.64,5.08,13.81,27.02,98.08,2577.38,0.8088
F1-w128,34696,39353109,67201.89,0.00,0.00,794.00,6778.25,10184.00,27918.00,53603.25,769303.20,29269232.00,5.86,1.00,1.00,1.12,1.98,2.38,4.45,8.21,46.35,3471.82,0.8064
F1-w256,34696,39353109,67192.09,0.00,0.00,787.00,6725.00,10102.00,27963.00,53740.50,769303.20,29269232.00,5.85,1.00,1.00,1.12,1.98,2.37,4.43,8.20,46.35,3471.82,0.8064
F1-w512,34696,39353109,67192.09,0.00,0.00,787.00,6725.00,10102.00,27963.00,53740.50,769303.20,29269232.00,5.85,1.00,1.00,1.12,1.98,2.37,4.43,8.20,46.35,3471.82,0.8064
F1-w1024,34696,39353109,67192.09,0.00,0.00,787.00,6725.00,10102.00,27963.00,53740.50,769303.20,29269232.00,5.85,1.00,1.00,1.12,1.98,2.37,4.43,8.20,46.35,3471.82,0.8064
F2-w2,34696,37122608,123181.37,0.00,7735.25,51596.00,176633.25,214205.00,338896.00,487075.00,768692.10,4578362.00,19.86,1.00,2.21,8.67,22.88,28.38,50.01,74.18,157.93,587.71,0.8549
F2-w4,34696,37131878,123266.55,0.00,6422.50,47667.00,173359.75,222091.00,349861.00,451717.75,773754.85,7323019.00,19.71,1.00,1.99,8.05,22.65,29.12,50.19,78.24,150.45,528.33,0.8547
F2-w8,34696,37230931,138120.98,0.00,7260.25,56335.00,193489.50,240325.00,389461.50,512385.75,779861.95,10035898.00,21.79,1.00,2.10,9.44,26.04,32.03,55.00,81.83,179.02,553.79,0.8524
F2-w16,34696,37566115,120016.14,0.00,3407.50,33994.00,137759.25,183710.00,336907.00,484509.00,749725.45,15548935.00,18.28,1.00,1.55,6.01,18.77,24.93,47.95,77.72,169.38,449.77,0.8448
F2-w32,34696,38290970,98387.32,0.00,304.75,12817.00,70450.25,101166.00,247072.50,380017.00,695264.65,23318063.00,12.16,1.00,1.05,2.84,11.12,15.34,32.53,55.03,124.34,413.60,0.8288
F2-w64,34696,39236894,87756.97,0.00,0.00,4144.00,27231.50,39795.00,106370.00,226176.00,671025.30,33246038.00,6.80,1.00,1.00,1.62,5.08,6.95,15.30,27.32,77.72,563.04,0.8088
F2-w128,34696,40197025,77995.11,0.00,0.00,792.00,6431.00,9690.00,26260.00,53459.00,756839.15,34206169.00,3.54,1.00,1.00,1.13,1.93,2.30,4.05,7.29,36.76,981.54,0.7895
F2-w256,34696,40197025,77860.81,0.00,0.00,742.00,6018.25,9153.00,25894.50,53505.00,756839.15,34206169.00,3.50,1.00,1.00,1.12,1.90,2.24,3.87,6.84,36.76,981.54,0.7895
F2-w512,34696,40197025,77860.81,0.00,0.00,742.00,6018.25,9153.00,25894.50,53505.00,756839.15,34206169.00,3.50,1.00,1.00,1.12,1.90,2.24,3.87,6.84,36.76,981.54,0.7895
F2-w1024,34696,40197025,77860.81,0.00,0.00,742.00,6018.25,9153.00,25894.50,53505.00,756839.15,34206169.00,3.50,1.00,1.00,1.12,1.90,2.24,3.87,6.84,36.76,981.54,0.7895
F3-w2,34696,37122608,117703.64,0.00,7503.25,52722.50,169423.00,202696.00,314867.50,470552.25,736533.05,4578362.00,18.70,1.00,2.23,8.55,21.88,27.01,47.20,68.22,139.62,587.71,0.8549
F3-w4,34696,37131878,119007.93,0.00,6179.00,47724.00,167935.25,207346.00,336554.50,432331.00,730900.00,7323019.00,18.86,1.00,1.97,7.95,21.94,27.60,48.21,72.42,141.74,534.68,0.8547
F3-w8,34696,37258546,138084.88,0.00,6926.50,54319.50,196153.25,239245.00,377541.00,517038.75,823455.05,10035898.00,21.23,1.00,2.03,9.30,26.02,32.32,54.13,77.41,161.95,592.55,0.8517
F3-w16,34696,37610315,123539.75,0.00,3409.75,34985.00,139370.50,197607.00,362951.00,495495.00,767325.80,15672550.00,18.74,1.00,1.54,6.14,19.37,25.73,49.34,82.66,172.95,457.19,0.8438
F3-w32,34696,38317141,102656.07,0.00,627.75,16005.50,76197.00,111629.00,240720.00,387970.00,764661.80,23348585.00,12.76,1.00,1.10,3.21,12.68,17.32,34.66,56.85,125.10,453.56,0.8282
F3-w64,34696,39190919,85438.68,0.00,0.00,3987.00,24826.25,37428.00,101044.50,249347.25,568334.55,32883544.00,6.71,1.00,1.00,1.63,4.48,6.07,14.83,29.81,82.82,381.60,0.8098
F3-w128,34696,40213839,74663.62,0.00,0.00,704.00,6365.00,9407.00,26777.00,55284.25,718067.35,34222983.00,3.32,1.00,1.00,1.13,1.91,2.25,3.79,6.55,33.11,1507.46,0.7892
F3-w256,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
F3-w512,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
