[input]	input_initialization complete
[drivers]	driver_initialization started
[drivers]	created driver: FCFS (type=fcfs)
[drivers]	registered driver: FCFS
[drivers]	created driver: SJF-w2 (type=sjf)
[drivers]	registered driver: SJF-w2
[drivers]	created driver: SJF-w4 (type=sjf)
[drivers]	registered driver: SJF-w4
[drivers]	created driver: SJF-w8 (type=sjf)
[drivers]	registered driver: SJF-w8
[drivers]	created driver: SJF-w16 (type=sjf)
[drivers]	registered driver: SJF-w16
[drivers]	created driver: SJF-w32 (type=sjf)
[drivers]	registered driver: SJF-w32
[drivers]	created driver: SJF-w64 (type=sjf)
[drivers]	registered driver: SJF-w64
[drivers]	created driver: SJF-w128 (type=sjf)
[drivers]	registered driver: SJF-w128
[drivers]	created driver: SJF-w256 (type=sjf)
[drivers]	registered driver: SJF-w256
[drivers]	created driver: SJF-w512 (type=sjf)
[drivers]	registered driver: SJF-w512
[drivers]	created driver: SJF-w1024 (type=sjf)
[drivers]	registered driver: SJF-w1024
[drivers]	created driver: LJF-w2 (type=ljf)
[drivers]	registered driver: LJF-w2
[drivers]	created driver: LJF-w4 (type=ljf)
[drivers]	registered driver: LJF-w4
[drivers]	created driver: LJF-w8 (type=ljf)
[drivers]	registered driver: LJF-w8
[drivers]	created driver: LJF-w16 (type=ljf)
[drivers]	registered driver: LJF-w16
[drivers]	created driver: LJF-w32 (type=ljf)
[drivers]	registered driver: LJF-w32
[drivers]	created driver: LJF-w64 (type=ljf)
[drivers]	registered driver: LJF-w64
[drivers]	created driver: LJF-w128 (type=ljf)
[drivers]	registered driver: LJF-w128
[drivers]	created driver: LJF-w256 (type=ljf)
[drivers]	registered driver: LJF-w256
[drivers]	created driver: LJF-w512 (type=ljf)
[drivers]	registered driver: LJF-w512
[drivers]	created driver: LJF-w1024 (type=ljf)
[drivers]	registered driver: LJF-w1024
[drivers]	created driver: SRF-w2 (type=srf)
[drivers]	registered driver: SRF-w2
[drivers]	created driver: SRF-w4 (type=srf)
[drivers]	registered driver: SRF-w4
[drivers]	created driver: SRF-w8 (type=srf)
[drivers]	registered driver: SRF-w8
[drivers]	created driver: SRF-w16 (type=srf)
[drivers]	registered driver: SRF-w16
[drivers]	created driver: SRF-w32 (type=srf)
[drivers]	registered driver: SRF-w32
[drivers]	created driver: SRF-w64 (type=srf)
[drivers]	registered driver: SRF-w64
[drivers]	created driver: SRF-w128 (type=srf)
[drivers]	registered driver: SRF-w128
[drivers]	created driver: SRF-w256 (type=srf)
[drivers]	registered driver: SRF-w256
[drivers]	created driver: SRF-w512 (type=srf)
